ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
11-187_they-1,66413,11,187_they,ira,ira,i r a,,120166,"1, 70",false,^i r a$,default
11-188_what-1,66770,11,188_what,cava,cava,c a v a,,120166,1,false,^c a v a$,default
11-189_who-1,67127,11,189_who,[k]o cei,o cei,o + c/ts e i,,120166,1,false,^o + c e i$,default
11-190_other-1,67484,11,190_other,dua tale,dua tale,d u a + t a l e,,120166,,false,^d u a + t a l e$,default
11-191_all-1,67841,11,191_all,kece,kece,k e c/ts e,,120166,48,false,^k e c e$,default
11-192_and-1,82472,11,192_and,kei,kei,k e i,,120166,1,false,^k e i$,default
11-192_and-2,82473,11,192_and,ka,ka,k a,,120166,1,false,^k a$,default
11-193_if-1,82570,11,193_if,ke,ke,k e,,120166,1,false,^k e$,default
11-193_if-2,82571,11,193_if,se,se,s e,,120166,,false,^s e$,default
11-194_how-1,68912,11,194_how,vaka-cava,vaka-cava,v a k a + c/ts a v a,,120166,"35, 1",false,^v a k a - c a v a$,default
11-195_nonot-1,69269,11,195_nonot,sega,sega,s e g a,,120166,42,false,^s e g a$,default
11-196_tocount-1,69626,11,196_tocount,oka-ta,oka-ta,o k a + t a,,120166,,false,^o k a - t a$,default
11-197_one-1,69983,11,197_one,e dua,e dua,e + d u a,,120166,18,false,^e + d u a$,default
11-198_two-1,70340,11,198_two,e rua,e rua,e + r u a,,120166,1,false,^e + r u a$,default
11-199_three-1,70697,11,199_three,e tolu,e tolu,e + t o l u,,120166,1,false,^e + t o l u$,default
11-200_four-1,71054,11,200_four,e vā,e vā,e + v ā/a,,120166,"1,66",false,^e + v ā$,default
11-201_five-1,90437,11,201_five,lima,lima,l i m a,Pollex 06: Lima. :Five.,120166,1,false,^l i m a$,default
11-202_six-1,125633,11,202_six,ono,ono,o n o,,120166,1,false,^o n o$,default
11-203_seven-1,125634,11,203_seven,vitu,vitu,v i t u,,120166,1,false,^v i t u$,default
11-204_eight-1,90438,11,204_eight,walu,walu,w a l u,Pollex 06: Walu. :Eight.,120166,3,false,^w a l u$,default
11-205_nine-1,90439,11,205_nine,ciwa,ciwa,c i w a,Pollex 06: Ciwa. :Nine.,120166,5,false,^c i w a$,default
11-206_ten-1,90440,11,206_ten,sagavulu,sagavulu,s a g a v u l u,Pollex 06: Sagavulu. :Ten.,120166,5,false,^s a g a v u l u$,default
11-207_twenty-1,125635,11,207_twenty,rua-sagavulu,rua-sagavulu,r u a + s a g a v u l u,,120166,"3,6",false,^r u a - s a g a v u l u$,default
11-208_fifty-1,125636,11,208_fifty,lima-sagavulu,lima-sagavulu,l i m a + s a g a v u l u,,120166,"1, 2",false,^l i m a - s a g a v u l u$,default
11-209_onehundred-1,90608,11,209_onehundred,drau,drau,d r a u,Pollex 06: Drau. :Hundred.,120166,2,false,^d r a u$,default
